2104,Iphone xsmax,5500,Casablanca,2021-06-02 00:00:00,iphone xs,avito,02 Juin,
2105,iPhone 8,2500,Agadir,2021-06-02 00:00:00,iphone 8,avito,02 Juin,
2106,iPhone 8,2000,Meknès,2021-06-03 00:00:00,iphone 8,avito,03 Juin,
2107,Iphone X 64Gb Officiel,3900,Oujda,2021-06-03 00:00:00,iphone x,avito,03 Juin,
2108,Iphone 6,650,Marrakech,2021-06-03 00:00:00,iphone 6,avito,03 Juin,
2109,iPhone 7 noire 128 g,1600,Marrakech,2021-06-03 00:00:00,iphone 7,avito,03 Juin,
2110,iPhone 7 Plus 256 go,2600,Casablanca,2021-06-03 00:00:00,iphone 7 plus,avito,03 Juin,
2111,iPhone 7,1200,Settat,2021-06-03 00:00:00,iphone 7,avito,03 Juin,
2112,iPhone 11 pro max 256gb,7700,Oujda,2021-06-04 00:00:00,iphone 11 pro max,avito,04 Juin,
2113,iPhone 8,2100,Mohammedia,2021-06-04 00:00:00,iphone 8,avito,04 Juin,
2114,iPhone XS,5500,Rabat,2021-06-04 00:00:00,iphone xs,avito,04 Juin,
2115,Apple iPhone XR 64GB Battery 93,4200,Fès,2021-06-04 00:00:00,iphone xr,avito,04 Juin,
2116,Iphone XR très bon état,3800,Marrakech,2021-06-05 00:00:00,iphone xr,avito,05 Juin,
2117,Iphone 6s plus bon état,1700,Salé,2021-06-05 00:00:00,iphone 6s plus,avito,05 Juin,
2118,Iphone 8,2300,Marrakech,2021-06-05 00:00:00,iphone 8,avito,05 Juin,
2119,Iphone xr is,3700,Salé,2021-06-06 00:00:00,iphone xr,avito,06 Juin,
2120,Iphone 6 64 GB,1100,Rabat,2021-06-06 00:00:00,iphone 6,avito,06 Juin,
2121,iPhone Xr 128Gb 89état de batterie,2600,Casablanca,2021-06-06 00:00:00,iphone xr,avito,06 Juin,
2122,Iphone 6s 16 ga Rose gold,700,Casablanca,2021-06-07 00:00:00,iphone 6s,avito,07 Juin,
2123,IPhone X en très bon état à vendre,3300,Rabat,2021-06-07 00:00:00,iphone x,avito,07 Juin,
2124,iPhone XS Max 256GB,4200,Casablanca,2021-06-07 00:00:00,iphone xs max,avito,07 Juin,
2125,iPhone 7,1600,Khouribga,2021-06-08 00:00:00,iphone 7,avito,08 Juin,
2126,Iphone 8 kolchi fih mzian ghir c9at lor,1700,Marrakech,2021-06-08 00:00:00,iphone 8,avito,08 Juin,
2127,Iphone 11 noir,6000,Kénitra,2021-06-08 00:00:00,iphone 11,avito,08 Juin,
2128,iphone 8 Normal 64Go noir En excellent Etat,2000,Casablanca,2021-06-08 00:00:00,iphone 8,avito,08 Juin,
2129,Iphone 11 neuf 64gb,4000,Casablanca,2021-06-08 00:00:00,iphone 11,avito,08 Juin,
2130,Iphone xs 256g etat battrie 82 no face id,3450,Casablanca,2021-06-08 00:00:00,iphone xs,avito,08 Juin,
2131,iPhone 7 32 Go,1500,Casablanca,2021-06-09 00:00:00,iphone 7,avito,09 Juin,
2132,iPhone 7 128g,1400,Casablanca,2021-06-09 00:00:00,iphone 7,avito,09 Juin,
2133,IPHONE XMAX,5000,Casablanca,2021-06-09 00:00:00,iphone x,avito,09 Juin,
2134,IPHONE 11 PRO MAX,7500,Casablanca,2021-06-09 00:00:00,iphone 11 pro max,avito,09 Juin,
2135,Iphone 6 Tres bon etat,1000,Rabat,2021-06-09 00:00:00,iphone 6,avito,09 Juin,
2136,iPhone xr,3500,Salé,2021-06-09 00:00:00,iphone xr,avito,09 Juin,
2137,IPhone 11 Pro Max,8500,Tanger,2021-06-09 00:00:00,iphone 11 pro max,avito,09 Juin,
2138,Iphone 11 Pro 256 GB,7000,Laâyoune,2021-06-09 00:00:00,iphone 11 pro,avito,09 Juin,
2139,iPhone 7plus gold bonne état,2100,Casablanca,2021-06-10 00:00:00,iphone 7,avito,10 Juin,
2140,iPhone 6 plus,500,Casablanca,2021-06-10 00:00:00,iphone 6 plus,avito,10 Juin,
2141,Iphone 6 plus,1800,Tifelt,2021-06-10 00:00:00,iphone 6 plus,avito,10 Juin,
2142,Iphone 7 / 32gb,1400,Ouarzazate,2021-06-10 00:00:00,iphone 7,avito,10 Juin,
2143,Iphone xr,4300,Casablanca,2021-06-10 00:00:00,iphone xr,avito,10 Juin,
2144,Iphone 11/64G batterie 98,6000,Casablanca,2021-06-10 00:00:00,iphone 11,avito,10 Juin,
2145,iphone 11 pro max 64G bon etat,7500,Rabat,2021-06-10 00:00:00,iphone 11 pro max,avito,10 Juin,
2146,Iphone 11 pro,6700,Casablanca,2021-06-10 00:00:00,iphone 11 pro,avito,10 Juin,
2147,Iphone 12 128gb 100 etat de batterie,8700,Casablanca,2021-06-10 00:00:00,iphone 12,avito,10 Juin,
2148,Iphone 7 plus bon état,3200,Kénitra,2021-06-10 00:00:00,iphone 7 plus,avito,10 Juin,
2149,IPHONE 11 OFFICIAL,6000,Casablanca,2021-06-10 00:00:00,iphone 11,avito,10 Juin,
